2025-06-23 02:15:32.313 [http-nio-8080-exec-10] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:32.312 [http-nio-8080-exec-7] INFO  c.c.controller.api.user.UserListController - 请求获取所有用户列表
2025-06-23 02:15:32.316 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:32.373 [http-nio-8080-exec-7] INFO  c.c.controller.api.user.UserListController - 成功返回用户列表，共4个用户
2025-06-23 02:15:32.470 [http-nio-8080-exec-3] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:15:32.469 [http-nio-8080-exec-9] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:15:32.474 [http-nio-8080-exec-3] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:15:32.497 [http-nio-8080-exec-9] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:15:32.543 [http-nio-8080-exec-10] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:15:32.550 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:15:32.579 [http-nio-8080-exec-1] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:32.581 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:15:32.606 [http-nio-8080-exec-4] INFO  c.c.controller.api.training.UserTryController - 查询最近一次数据更新时间
2025-06-23 02:15:32.612 [http-nio-8080-exec-4] INFO  c.c.controller.api.training.UserTryController - 成功查询最近一次更新时间：-999999999-01-01T00:00
2025-06-23 02:15:32.649 [http-nio-8080-exec-1] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:15:32.718 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:32.731 [http-nio-8080-exec-6] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
